round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868786,5,289,134,0,0,0,283,197,0,2745,0,44,126
55868787,7,304,157,0,0,0,310,177,0,2780,0,44,157
55868788,3,328,139,0,0,0,321,200,0,2795,0,44,94
55868789,8,324,177,0,0,0,339,183,0,2879,0,44,174
55868790,10,309,138,0,0,0,336,215,0,2692,0,44,134
55868791,8,323,136,0,0,0,331,184,0,2859,0,44,135
55868792,8,276,152,0,0,0,334,188,0,2689,0,44,147
55868793,5,310,164,0,0,0,308,200,0,2840,0,44,126
55868794,6,312,156,0,0,0,323,194,0,2771,0,44,136
55868795,10,287,152,0,0,0,333,203,0,2752,0,44,150
55868796,5,297,142,0,0,0,297,196,0,2832,0,44,140
55868797,5,324,159,0,0,0,325,189,0,2783,0,44,145
55868798,9,309,154,0,0,0,333,195,0,2672,0,44,107
55868799,8,280,164,0,0,0,318,188,0,2840,0,44,136
55868800,9,292,154,0,0,0,292,214,0,2884,0,44,146
55868801,9,302,145,0,0,0,311,185,0,2621,0,44,140
55868802,6,298,151,0,0,0,325,199,0,2771,0,44,131
55868803,5,342,142,0,0,0,322,195,0,2758,0,44,120
55868804,6,323,158,0,0,0,361,183,0,2823,0,44,123
55868805,5,299,164,0,0,0,331,194,0,2842,0,44,163
55868806,5,321,170,0,0,0,311,204,0,2731,0,44,170
55868807,6,305,159,0,0,0,336,214,0,2792,0,44,128
55868808,7,325,163,0,0,0,325,207,0,2835,0,44,162
55868809,8,315,153,0,0,0,336,210,0,2723,0,44,114
55868810,6,328,148,0,0,0,331,183,0,2841,0,44,130
55868811,6,325,138,0,0,0,347,189,0,2656,0,44,138
55868812,7,292,135,0,0,0,343,176,0,2938,0,44,135
55868813,11,314,169,0,0,0,322,191,0,2674,0,44,159
55868814,5,311,151,0,0,0,332,214,0,2799,0,44,133
55868815,6,279,160,0,0,0,326,189,0,2907,0,44,141
55868816,10,287,155,0,0,0,302,210,0,2662,0,44,153
55868817,9,305,179,0,0,0,307,192,0,2770,0,44,163
55868818,5,289,152,0,0,0,319,216,0,2755,0,44,152
55868819,8,317,151,0,0,0,309,188,0,2800,0,44,134
55868820,6,327,135,0,0,0,332,187,0,2850,0,44,131
55868821,7,303,162,0,0,0,346,186,0,2655,0,44,153
55868822,7,308,140,0,0,0,315,199,0,2768,0,44,129
55868823,10,310,167,0,0,0,335,194,0,2724,0,44,157
55868824,4,298,138,0,0,0,322,202,0,2795,0,44,134
55868825,10,304,145,0,0,0,319,176,0,2795,0,44,129
55868826,10,322,154,0,0,0,316,191,0,2752,0,44,148
55868827,7,282,130,0,0,0,341,187,0,2731,0,44,130
55868828,4,295,154,0,0,0,309,179,0,2769,0,44,141
55868829,6,301,153,0,0,0,319,194,0,3042,0,44,141
55868830,5,305,158,0,0,0,332,201,0,2677,0,44,157
55868831,9,307,150,0,0,0,324,200,0,2631,0,44,112
55868832,11,347,127,0,0,0,334,190,0,2715,0,44,116
55868833,4,311,162,0,0,0,365,169,0,2862,0,44,133
55868834,9,309,127,0,0,0,332,210,0,2744,0,44,122
55868835,8,311,152,0,0,0,345,188,0,2728,0,44,128
55868836,5,317,151,0,0,0,335,199,0,2851,0,44,142
55868837,6,310,141,0,0,0,333,183,0,2716,0,44,139
55868838,9,315,158,0,0,0,337,181,0,2812,0,44,157
55868839,5,345,156,0,0,0,333,204,0,2825,0,44,139
55868840,5,309,140,0,0,0,353,202,0,2698,0,44,140
55868841,6,279,159,0,0,0,336,185,0,2806,0,43,153
55868842,6,316,136,0,0,0,301,198,0,2713,0,44,136
55868843,8,305,165,0,0,0,335,193,0,2834,0,44,154
55868844,7,301,148,0,0,0,318,204,0,2817,0,44,132
55868845,6,338,131,0,0,0,328,191,0,2952,0,44,126
55868846,8,293,155,0,0,0,356,199,0,2494,0,44,155
55868847,6,293,131,0,0,0,321,207,0,2784,0,44,112
55868848,5,317,134,0,0,0,317,173,0,2729,0,44,80
55868849,5,299,153,0,0,0,336,182,0,2740,0,44,144
55868850,6,336,141,0,0,0,318,195,0,2980,0,44,139
55868851,7,294,154,0,0,0,349,197,0,2668,0,44,132
55868852,3,326,144,0,0,0,313,189,0,2676,0,44,121
55868853,4,312,153,0,0,0,354,184,0,2762,0,44,88
55868854,4,310,153,0,0,0,331,195,0,2779,0,44,150
55868855,5,304,131,0,0,0,336,202,0,2836,0,44,111
55868856,5,292,127,0,0,0,328,169,0,2716,0,44,120
55868857,6,320,146,0,0,0,303,182,0,2796,0,44,126
55868858,4,297,139,0,0,0,340,215,0,2836,0,44,128
55868859,4,312,131,0,0,0,315,194,0,2643,0,44,112
55868860,6,298,149,0,0,0,329,179,0,2825,0,44,142
55868861,4,308,149,0,0,0,320,201,0,2809,0,44,94
55868862,6,322,159,0,0,0,321,198,0,2772,0,44,128
55868863,6,289,141,0,0,0,335,192,0,2697,0,44,99
55868864,8,281,143,0,0,0,304,170,0,2740,0,44,135
55868865,8,309,153,0,0,0,312,198,0,2838,0,44,123
55868866,8,307,144,0,0,0,329,204,0,2727,0,44,130
55868867,5,292,131,0,0,0,324,184,0,2798,0,44,131
55868868,7,292,148,0,0,0,313,187,0,2714,0,44,133
55868869,6,343,133,0,0,0,311,192,0,2802,0,44,112
55868870,5,302,114,0,0,0,366,186,0,2779,0,44,99
55868871,7,299,151,0,0,0,328,171,0,2788,0,44,135
55868872,3,312,132,0,0,0,320,198,0,2596,0,44,124
55868873,8,308,142,0,0,0,336,191,0,2795,0,44,114
55868874,5,308,143,0,0,0,323,183,0,2863,0,44,121
55868875,4,310,139,0,0,0,324,186,0,2942,0,44,70
55868876,11,322,151,0,0,0,327,188,0,2603,0,44,109
55868877,6,328,129,0,0,0,325,195,0,2608,0,44,129
55868878,6,294,143,0,0,0,345,181,0,2739,0,44,129
55868879,4,306,148,0,0,0,318,199,0,2796,0,44,110
55868880,8,318,143,0,0,0,330,203,0,2931,0,45,113
55868881,6,299,148,0,0,0,346,188,0,2644,0,45,140
55868882,10,301,149,0,0,0,320,194,0,2829,0,45,117
55868883,11,312,130,0,0,0,329,207,0,2520,0,45,127
55868884,5,281,127,0,0,0,338,187,0,2843,0,45,127
55868885,6,288,144,0,0,0,305,170,0,2879,0,45,137
55868886,4,305,131,0,0,0,308,195,0,2652,0,45,98
55868887,9,318,161,0,0,0,331,196,0,2860,0,45,148
55868888,5,326,150,0,0,0,336,197,0,2624,0,45,136
55868889,7,299,149,0,0,0,354,187,0,2839,0,45,144
55868890,6,318,129,0,0,0,320,197,0,2759,0,45,129
55868891,7,312,149,0,0,0,343,182,0,2717,0,45,144
55868892,5,289,136,0,0,0,322,201,0,2736,0,45,136
55868893,6,305,153,0,0,0,306,188,0,2822,0,45,134
55868894,4,305,156,0,0,0,329,191,0,2793,0,45,156
55868895,7,311,133,0,0,0,316,205,0,2822,0,45,122
55868896,7,301,137,0,0,0,338,187,0,2817,0,45,132
55868897,8,331,155,0,0,0,314,173,0,2764,0,45,144
55868898,5,293,153,0,0,0,345,191,0,2666,0,45,106
55868899,9,302,131,0,0,0,307,190,0,2657,0,45,131
55868900,8,278,117,0,0,0,313,191,0,2861,0,45,110
55868901,11,307,159,0,0,0,315,170,0,2703,0,45,100
55868902,2,323,161,0,0,0,324,204,0,2684,0,45,156
55868903,4,296,144,0,0,0,342,210,0,2765,0,45,132
55868904,4,303,131,0,0,0,325,196,0,2792,0,45,106
55868905,9,278,132,0,0,0,324,175,0,2740,0,45,98
55868906,5,317,159,0,0,0,302,180,0,2820,0,47,126
55868907,2,273,150,0,0,0,326,201,0,2683,0,50,118
55868908,7,298,150,0,0,0,298,186,0,2854,0,50,146
55868909,3,321,146,0,0,0,316,198,0,2880,0,50,135
55868910,9,302,139,0,0,0,339,198,0,2660,0,50,139
55868911,6,300,142,0,0,0,321,178,0,2712,0,50,140
55868912,7,296,139,0,0,0,329,206,0,2819,0,50,114
55868913,4,307,153,0,0,0,323,186,0,2661,0,50,134
55868914,3,329,144,0,0,0,341,219,0,2944,0,50,123
55868915,7,291,156,0,0,0,356,176,0,2686,0,50,129
55868916,6,323,148,0,0,0,310,207,0,2844,0,50,148
55868917,6,296,151,0,0,0,333,187,0,2576,0,50,124
55868918,4,291,130,0,0,0,324,200,0,2825,0,50,130
55868919,8,310,162,0,0,0,307,182,0,2767,0,50,119
55868920,5,296,146,0,0,0,323,195,0,2762,0,50,140
55868921,5,292,119,0,0,0,309,193,0,2772,0,50,117
55868922,6,277,111,0,0,0,321,176,0,2776,0,50,88
55868923,6,311,133,0,0,0,313,177,0,2674,0,50,114
55868924,6,279,146,0,0,0,327,190,0,2682,0,50,144
55868925,4,322,160,0,0,0,301,196,0,2880,0,50,131
55868926,7,295,134,0,0,0,341,202,0,2778,0,50,134
55868927,6,302,118,0,0,0,318,174,0,2727,0,50,115
55868928,6,310,168,0,0,0,328,178,0,2733,0,49,130
55868929,5,309,133,0,0,0,324,198,0,2709,0,49,119
55868930,3,298,143,0,0,0,339,188,0,2825,0,48,143
55868931,6,310,150,0,0,0,314,204,0,2743,0,48,134
55868932,6,316,124,0,0,0,329,199,0,2799,0,48,118
55868933,10,313,153,0,0,0,349,189,0,2738,0,48,138
55868934,6,288,125,0,0,0,333,199,0,2640,0,48,115
55868935,5,307,140,0,0,0,317,182,0,3040,0,48,131
55868936,8,307,139,0,0,0,328,191,0,2686,0,48,110
55868937,6,323,144,0,0,0,323,180,0,2654,0,48,137
55868938,8,282,128,0,0,0,337,192,0,2736,0,48,86
55868939,9,318,146,0,0,0,311,189,0,2907,0,48,145
55868940,8,275,151,0,0,0,331,186,0,2773,0,48,151
55868941,7,313,127,0,0,0,297,212,0,2545,0,48,123
55868942,7,309,130,0,0,0,336,171,0,2747,0,48,111
55868943,3,271,139,0,0,0,343,186,0,2713,0,48,121
55868944,8,284,147,0,0,0,304,197,0,2871,0,48,147
55868945,8,326,145,0,0,0,304,195,0,3069,0,48,138
55868946,7,305,153,0,0,0,345,183,0,2593,0,48,131
55868947,7,318,155,0,0,0,325,188,0,2799,0,48,146
55868948,6,288,134,0,0,0,332,193,0,2574,0,48,133
55868949,8,299,166,0,0,0,305,203,0,2797,0,48,165
55868950,8,295,138,0,0,0,316,211,0,2736,0,49,95
55868951,7,308,174,0,0,0,326,193,0,2866,0,49,174
55868952,6,311,155,0,0,0,330,214,0,2620,0,48,150
55868953,6,323,144,0,0,0,329,188,0,2907,0,48,132
55868954,5,281,141,0,0,0,344,201,0,2589,0,48,139
55868955,7,294,151,0,0,0,312,215,0,2701,0,48,149
55868956,7,321,167,0,0,0,327,214,0,2887,0,48,129
55868957,3,301,144,0,0,0,337,197,0,2855,0,48,107
55868958,6,320,166,0,0,0,326,191,0,2807,0,48,166
55868959,5,299,149,0,0,0,339,209,0,2642,0,48,149
55868960,3,328,160,0,0,0,320,204,0,2953,0,48,151
55868961,8,337,134,0,0,0,346,199,0,2644,0,48,134
55868962,7,331,178,0,0,0,355,186,0,2866,0,48,149
55868963,7,307,154,0,0,0,342,210,0,2763,0,48,134
55868964,9,310,131,0,0,0,321,198,0,2715,0,48,127
55868965,6,300,143,0,0,0,332,178,0,2751,0,48,142
55868966,4,285,148,0,0,0,325,201,0,2731,0,48,147
55868967,3,308,147,0,0,0,304,195,0,2869,0,48,140
55868968,6,297,160,0,0,0,321,183,0,2741,0,48,132
55868969,4,327,164,0,0,0,316,195,0,2869,0,48,131
55868970,5,307,146,0,0,0,341,208,0,2729,0,48,121
55868971,11,284,149,0,0,0,331,206,0,2726,0,48,114
55868972,7,303,175,0,0,0,313,204,0,2820,0,48,141
55868973,8,320,155,0,0,0,320,203,0,2656,0,48,155
55868974,8,317,146,0,0,0,339,188,0,2773,0,47,120
55868975,2,295,153,0,0,0,340,190,0,2827,0,47,153
55868976,6,289,176,0,0,0,319,190,0,2758,0,47,175
55868977,9,307,150,0,0,0,306,214,0,2671,0,47,150
55868978,9,314,145,0,0,0,329,190,0,2866,0,47,117
55868979,4,320,160,0,0,0,337,184,0,2808,0,47,135
55868980,8,316,163,0,0,0,337,193,0,2708,0,47,163
55868981,7,314,155,0,0,0,338,193,0,2727,0,47,136
55868982,4,304,158,0,0,0,338,200,0,2727,0,47,104
55868983,7,333,153,0,0,0,325,187,0,2819,0,47,131
55868984,4,319,129,0,0,0,352,184,0,2835,0,47,110
55868985,8,302,140,0,0,0,345,188,0,2725,0,47,140
55868986,6,313,151,0,0,0,334,210,0,2855,0,47,151
55868987,7,291,153,0,0,0,334,194,0,2560,0,47,123
55868988,8,295,142,0,0,0,331,219,0,2830,0,47,131
55868989,5,303,151,0,0,0,318,186,0,2845,0,47,135
55868990,5,298,147,0,0,0,329,200,0,2785,0,47,147
55868991,5,317,142,0,0,0,318,190,0,2768,0,47,124
55868992,7,285,145,0,0,0,333,171,0,2820,0,47,145
55868993,5,329,172,0,0,0,303,201,0,2933,0,47,172
55868994,8,307,124,0,0,0,347,212,0,2420,0,47,124
55868995,3,333,169,0,0,0,327,173,0,2975,0,46,140
55868996,9,300,131,0,0,0,347,201,0,2541,0,46,131
55868997,8,303,136,0,0,0,320,181,0,2738,0,46,136
55868998,4,295,108,0,0,0,322,183,0,2792,0,46,105
55868999,6,286,134,0,0,0,330,171,0,2610,0,46,113
55869000,8,274,145,0,0,0,318,191,0,2854,0,46,144
55869001,5,291,127,0,0,0,301,203,0,2681,0,46,123
55869002,9,310,132,0,0,0,324,181,0,2840,0,46,106
55869003,9,291,136,0,0,0,339,179,0,2675,0,46,112
55869004,4,293,125,0,0,0,328,191,0,2745,0,46,125
55869005,7,297,148,0,0,0,326,187,0,2854,0,46,148
55869006,10,291,139,0,0,0,322,195,0,2761,0,46,117
55869007,4,293,155,0,0,0,310,195,0,2761,0,46,149
55869008,7,309,132,0,0,0,317,195,0,2776,0,46,125
55869009,8,305,137,0,0,0,329,202,0,2722,0,46,137
55869010,4,332,134,0,0,0,335,197,0,2830,0,46,134
55869011,5,283,133,0,0,0,356,189,0,2682,0,46,133
55869012,8,314,163,0,0,0,306,189,0,2934,0,46,113
55869013,3,329,134,0,0,0,329,193,0,2725,0,46,134
55869014,7,290,123,0,0,0,346,196,0,2666,0,46,109
55869015,10,300,127,0,0,0,322,182,0,2801,0,46,100
55869016,5,314,117,0,0,0,326,179,0,2911,0,46,115
55869017,11,318,161,0,0,0,329,182,0,2733,0,46,161
55869018,6,307,127,0,0,0,331,209,0,2695,0,46,124
55869019,3,299,136,0,0,0,323,174,0,2935,0,46,136
55869020,8,299,136,0,0,0,334,186,0,2733,0,46,127
55869021,6,296,127,0,0,0,316,188,0,2600,0,46,127
55869022,6,314,148,0,0,0,324,197,0,2802,0,46,144
55869023,3,289,141,0,0,0,331,189,0,2815,0,46,122
55869024,3,285,128,0,0,0,322,196,0,2551,0,46,106
55869025,4,283,125,0,0,0,306,188,0,2843,0,46,125
55869026,7,280,114,0,0,0,332,187,0,2705,0,46,108
55869027,5,299,138,0,0,0,323,185,0,2613,0,46,112
55869028,5,285,127,0,0,0,320,189,0,2827,0,46,126
55869029,4,306,124,0,0,0,313,176,0,2869,0,46,99
55869030,7,319,144,0,0,0,330,183,0,2991,0,46,144
55869031,7,286,135,0,0,0,347,181,0,2424,0,46,135
55869032,5,306,147,0,0,0,307,192,0,2908,0,46,135
55869033,8,283,133,0,0,0,336,192,0,2661,0,46,111
55869034,4,317,148,0,0,0,312,200,0,3015,0,46,107
55869035,9,292,153,0,0,0,334,198,0,2757,0,46,153
55869036,7,276,122,0,0,0,319,206,0,2459,0,46,121
55869037,5,344,136,0,0,0,302,182,0,2948,0,46,127
55869038,9,320,125,0,0,0,371,188,0,2849,0,46,111
55869039,5,316,118,0,0,0,339,198,0,2524,0,46,117
55869040,7,300,143,0,0,0,340,195,0,2954,0,46,143
55869041,7,294,137,0,0,0,330,199,0,2698,0,46,85
55869042,8,273,120,0,0,0,312,184,0,2585,0,46,107
55869043,7,299,122,0,0,0,294,194,0,2841,0,46,120
55869044,8,271,118,0,0,0,322,171,0,2658,0,46,116
55869045,7,293,131,0,0,0,302,173,0,2798,0,46,127
55869046,5,288,131,0,0,0,323,201,0,2908,0,46,121
55869047,10,274,118,0,0,0,313,186,0,2592,0,46,113
55869048,6,278,119,0,0,0,314,192,0,2666,0,46,119
55869049,7,300,128,0,0,0,301,180,0,2788,0,46,128
55869050,7,282,121,0,0,0,330,202,0,2803,0,46,109
55869051,3,294,119,0,0,0,318,198,0,2764,0,46,104
55869052,5,308,146,0,0,0,342,204,0,2689,0,46,146
55869053,4,284,126,0,0,0,343,197,0,2710,0,46,126
55869054,4,290,124,0,0,0,341,202,0,2726,0,46,124
55869055,7,256,129,0,0,0,330,198,0,2838,0,46,129
55869056,8,301,153,0,0,0,306,205,0,2878,0,46,147
55869057,6,285,140,0,0,0,317,198,0,2749,0,46,120
55869058,6,302,117,0,0,0,314,216,0,2630,0,46,115
55869059,5,297,150,0,0,0,330,173,0,2923,0,46,150
55869060,7,325,133,0,0,0,327,207,0,2978,0,46,111
55869061,12,286,145,0,0,0,347,179,0,2605,0,46,144
55869062,5,271,118,0,0,0,305,210,0,2484,0,46,106
55869063,9,297,130,0,0,0,305,199,0,2798,0,46,119
55869064,6,287,117,0,0,0,322,194,0,2812,0,46,104
55869065,4,306,162,0,0,0,308,184,0,2998,0,46,136
55869066,7,283,127,0,0,0,327,208,0,2519,0,46,127
55869067,9,287,125,0,0,0,312,193,0,2699,0,46,115
55869068,7,278,135,0,0,0,312,190,0,2814,0,46,135
55869069,7,291,140,0,0,0,308,173,0,2855,0,46,139
55869070,10,283,138,0,0,0,342,198,0,2633,0,46,129
55869071,5,282,139,0,0,0,308,187,0,2767,0,46,121
55869072,9,306,144,0,0,0,311,191,0,2718,0,46,130
55869073,6,309,122,0,0,0,339,208,0,2751,0,46,114
55869074,6,301,120,0,0,0,343,180,0,2816,0,46,119
55869075,8,292,143,0,0,0,323,185,0,2790,0,46,126
55869076,3,295,123,0,0,0,328,194,0,2643,0,46,123
55869077,3,308,155,0,0,0,331,187,0,2859,0,46,141
55869078,7,308,139,0,0,0,331,208,0,2806,0,46,138
55869079,3,310,134,0,0,0,330,195,0,2767,0,46,120
55869080,9,282,150,0,0,0,327,182,0,2556,0,46,149
55869081,4,274,113,0,0,0,316,226,0,2741,0,46,113
55869082,5,278,141,0,0,0,318,181,0,2809,0,46,129
55869083,6,290,121,0,0,0,306,180,0,2727,0,46,108
55869084,3,305,151,0,0,0,327,175,0,2921,0,46,151
55869085,8,296,130,0,0,0,326,197,0,2610,0,46,129
55869086,6,303,121,0,0,0,328,192,0,2676,0,46,118
55869087,8,257,115,0,0,0,331,183,0,2724,0,46,114
55869088,6,278,134,0,0,0,306,192,0,2786,0,46,131
55869089,9,325,111,0,0,0,322,213,0,2827,0,46,101
55869090,6,284,127,0,0,0,365,180,0,2802,0,46,125
55869091,6,308,146,0,0,0,334,190,0,2722,0,46,136
55869092,8,298,139,0,0,0,329,206,0,2805,0,46,139
55869093,8,299,124,0,0,0,330,189,0,2792,0,46,124
55869094,11,331,159,0,0,0,328,177,0,3159,0,46,119
55869095,8,297,117,0,0,0,341,190,0,2569,0,46,110
55869096,6,321,144,0,0,0,314,182,0,2640,0,46,144
55869097,9,300,135,0,0,0,342,198,0,2761,0,46,134
55869098,5,279,136,0,0,0,319,191,0,2593,0,46,103
55869099,5,279,146,0,0,0,304,207,0,3118,0,46,140
